Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Random Forest Regressor,1.325,3.3069,1.8066,0.4939,0.514,0.4339,0.741,"(6, 10, 15)"
Light Gradient Boosting Machine,1.3427,3.3822,1.8308,0.4795,0.5182,0.4641,0.556,"(6, 10, 15)"
Gradient Boosting Regressor,1.4078,3.7051,1.9133,0.4316,0.5365,0.4685,0.624,"(6, 10, 15)"
Linear Regression,1.7005,4.8458,2.1888,0.2562,0.6098,0.6901,0.523,"(6, 10, 15)"
Ridge Regression,1.7078,4.7503,2.1702,0.2708,0.6074,0.6846,0.517,"(6, 10, 15)"
Bayesian Ridge,1.7308,4.8578,2.1966,0.2538,0.6147,0.6913,0.52,"(6, 10, 15)"
Decision Tree Regressor,1.7325,6.944,2.6264,-0.071,0.7091,0.6052,0.518,"(6, 10, 15)"
AdaBoost Regressor,1.7906,4.7069,2.1604,0.2754,0.6412,0.73,0.561,"(6, 10, 15)"
Huber Regressor,1.7973,5.3713,2.3089,0.1771,0.6272,0.6848,0.522,"(6, 10, 15)"
Orthogonal Matching Pursuit,1.8657,5.4311,2.3218,0.1692,0.6473,0.7495,0.491,"(6, 10, 15)"
Elastic Net,1.9051,5.636,2.3657,0.1391,0.6582,0.7468,0.503,"(6, 10, 15)"
Lasso Regression,1.9285,5.7041,2.3801,0.1292,0.665,0.7571,0.514,"(6, 10, 15)"
Lasso Least Angle Regression,1.9285,5.7041,2.3801,0.1292,0.665,0.7571,0.526,"(6, 10, 15)"
K Neighbors Regressor,1.9896,6.4886,2.5385,0.0041,0.706,0.757,0.511,"(6, 10, 15)"
Dummy Regressor,2.1718,6.6541,2.5733,-0.0183,0.7246,0.8915,0.512,"(6, 10, 15)"
Passive Aggressive Regressor,4.3331,31.6094,5.1898,-3.9746,1.0857,2.325,0.525,"(6, 10, 15)"
Least Angle Regression,57637.082,71559062645.3869,96449.1697,-11368181547.2466,7.041,34409.2174,0.522,"(6, 10, 15)"
Extra Trees Regressor,1.1857,2.6851,1.628,0.5873,0.4783,0.4055,0.585,"(6, 10, 16)"
Random Forest Regressor,1.3162,3.199,1.776,0.51,0.507,0.4547,0.78,"(6, 10, 16)"
Light Gradient Boosting Machine,1.3235,3.2384,1.7896,0.5037,0.5051,0.4769,0.544,"(6, 10, 16)"
Gradient Boosting Regressor,1.385,3.3845,1.8316,0.4782,0.5247,0.4859,0.637,"(6, 10, 16)"
Linear Regression,1.6618,4.5251,2.1197,0.3016,0.5984,0.6862,0.523,"(6, 10, 16)"
Ridge Regression,1.6894,4.5565,2.13,0.2968,0.6079,0.6975,0.515,"(6, 10, 16)"
Bayesian Ridge,1.7043,4.6167,2.144,0.2877,0.6109,0.7045,0.515,"(6, 10, 16)"
Decision Tree Regressor,1.8187,7.3813,2.6991,-0.1423,0.7134,0.6858,0.522,"(6, 10, 16)"
AdaBoost Regressor,1.8253,4.6615,2.1551,0.2787,0.6585,0.7849,0.56,"(6, 10, 16)"
Huber Regressor,1.8429,5.4016,2.3186,0.1671,0.6428,0.7016,0.521,"(6, 10, 16)"
Orthogonal Matching Pursuit,1.9135,5.482,2.3348,0.1559,0.6567,0.7783,0.515,"(6, 10, 16)"
Elastic Net,1.9563,5.6902,2.3806,0.1222,0.6698,0.7906,0.51,"(6, 10, 16)"
Lasso Regression,1.9808,5.7686,2.3971,0.1103,0.6766,0.7975,0.505,"(6, 10, 16)"
Lasso Least Angle Regression,1.9808,5.7686,2.3971,0.1103,0.6766,0.7975,0.511,"(6, 10, 16)"
K Neighbors Regressor,2.0445,6.6387,2.568,-0.0253,0.7164,0.8196,0.513,"(6, 10, 16)"
Dummy Regressor,2.173,6.5892,2.5637,-0.0169,0.7256,0.9014,0.517,"(6, 10, 16)"
Passive Aggressive Regressor,4.2617,31.4095,5.1928,-3.8121,1.1157,2.2888,0.516,"(6, 10, 16)"
Least Angle Regression,26268.7092,6044794649.8348,32484.049,-863108285.7877,5.9132,10836.8379,0.511,"(6, 10, 16)"
Extra Trees Regressor,1.3574,3.2971,1.7893,0.5436,0.5139,0.4621,0.599,"(6, 10, 17)"
Light Gradient Boosting Machine,1.4272,3.7536,1.9116,0.4776,0.528,0.5028,0.559,"(6, 10, 17)"
Random Forest Regressor,1.4612,3.7846,1.9244,0.4728,0.542,0.4961,0.764,"(6, 10, 17)"
Gradient Boosting Regressor,1.4788,4.004,1.9777,0.4406,0.5505,0.5124,0.639,"(6, 10, 17)"
Linear Regression,1.7311,4.9973,2.2145,0.3008,0.6257,0.6615,0.52,"(6, 10, 17)"
Decision Tree Regressor,1.7716,7.0647,2.6402,-0.0002,0.6905,0.6892,0.527,"(6, 10, 17)"
Ridge Regression,1.8087,5.1943,2.2598,0.2736,0.6283,0.7158,0.515,"(6, 10, 17)"
Bayesian Ridge,1.8234,5.2659,2.2755,0.2638,0.6328,0.7217,0.517,"(6, 10, 17)"
AdaBoost Regressor,1.9655,5.467,2.3256,0.2286,0.6829,0.8117,0.553,"(6, 10, 17)"
Huber Regressor,2.0009,6.4056,2.5081,0.1064,0.6737,0.721,0.523,"(6, 10, 17)"
Orthogonal Matching Pursuit,2.0509,6.2523,2.4842,0.1222,0.69,0.8029,0.516,"(6, 10, 17)"
Elastic Net,2.105,6.4522,2.5265,0.091,0.6985,0.823,0.514,"(6, 10, 17)"
Lasso Regression,2.1331,6.5254,2.5412,0.0802,0.7043,0.837,0.519,"(6, 10, 17)"
Lasso Least Angle Regression,2.1331,6.5254,2.5412,0.0802,0.7043,0.837,0.506,"(6, 10, 17)"
K Neighbors Regressor,2.26,7.9697,2.8093,-0.1295,0.76,0.8738,0.522,"(6, 10, 17)"
Dummy Regressor,2.2958,7.2015,2.6741,-0.0208,0.7433,0.9302,0.513,"(6, 10, 17)"
Passive Aggressive Regressor,2.8548,14.1345,3.5887,-0.9436,0.8444,1.0179,0.517,"(6, 10, 17)"
Least Angle Regression,5.79978218931112e+97,5.233804097717032e+196,7.234503505920107e+97,-8.915395999395976e+195,26.7567,2.6388576717219594e+97,0.519,"(6, 10, 17)"
Extra Trees Regressor,1.2397,2.8247,1.6662,0.5088,0.5178,0.449,0.606,"(6, 12, 13)"
Light Gradient Boosting Machine,1.3519,3.2904,1.8062,0.4221,0.5506,0.5076,0.558,"(6, 12, 13)"
Random Forest Regressor,1.3544,3.3231,1.8107,0.4191,0.5535,0.4886,0.775,"(6, 12, 13)"
Gradient Boosting Regressor,1.4015,3.5033,1.8617,0.3881,0.5632,0.5174,0.64,"(6, 12, 13)"
Linear Regression,1.6688,4.5644,2.1231,0.2016,0.634,0.6678,0.502,"(6, 12, 13)"
Ridge Regression,1.6898,4.6421,2.1383,0.1945,0.6335,0.6494,0.513,"(6, 12, 13)"
Bayesian Ridge,1.7155,4.7325,2.1601,0.181,0.64,0.6585,0.516,"(6, 12, 13)"
Huber Regressor,1.7571,5.3315,2.2925,0.0794,0.6515,0.6133,0.525,"(6, 12, 13)"
Decision Tree Regressor,1.7678,6.9562,2.6174,-0.2372,0.7529,0.7277,0.516,"(6, 12, 13)"
AdaBoost Regressor,1.7803,4.5749,2.1325,0.1972,0.6744,0.7549,0.56,"(6, 12, 13)"
Elastic Net,1.8313,5.2428,2.2732,0.0976,0.6719,0.7076,0.515,"(6, 12, 13)"
Orthogonal Matching Pursuit,1.8331,5.2847,2.2836,0.088,0.672,0.7135,0.521,"(6, 12, 13)"
Lasso Regression,1.8458,5.3127,2.2873,0.0869,0.6775,0.713,0.512,"(6, 12, 13)"
Lasso Least Angle Regression,1.8458,5.3127,2.2873,0.0869,0.6775,0.713,0.515,"(6, 12, 13)"
K Neighbors Regressor,1.9402,6.2663,2.4778,-0.0763,0.7191,0.7602,0.527,"(6, 12, 13)"
Dummy Regressor,2.0053,5.8366,2.4047,-0.0118,0.7132,0.8122,0.522,"(6, 12, 13)"
Passive Aggressive Regressor,2.1797,9.0158,2.9815,-0.5778,0.8147,0.6491,0.511,"(6, 12, 13)"
Least Angle Regression,1119614.4685,30052236533476.523,1734751.9724,-3716716802259.4897,4.3534,502680.5386,0.515,"(6, 12, 13)"
Extra Trees Regressor,1.2576,2.9821,1.7198,0.547,0.4898,0.455,0.581,"(6, 12, 15)"
Light Gradient Boosting Machine,1.3623,3.5734,1.8825,0.4537,0.5238,0.5037,0.555,"(6, 12, 15)"
Random Forest Regressor,1.3768,3.5576,1.8796,0.4585,0.5247,0.4969,0.762,"(6, 12, 15)"
Gradient Boosting Regressor,1.4076,3.8014,1.9351,0.4247,0.5337,0.507,0.626,"(6, 12, 15)"
Decision Tree Regressor,1.7515,6.8461,2.5835,-0.0416,0.7251,0.6328,0.516,"(6, 12, 15)"
Ridge Regression,1.7597,5.1335,2.2575,0.2234,0.6207,0.7099,0.521,"(6, 12, 15)"
Linear Regression,1.7621,5.2546,2.2842,0.2005,0.625,0.7091,0.516,"(6, 12, 15)"
Bayesian Ridge,1.7714,5.1824,2.268,0.2164,0.6243,0.714,0.522,"(6, 12, 15)"
Huber Regressor,1.8423,6.0168,2.4398,0.0947,0.6462,0.6565,0.519,"(6, 12, 15)"
Orthogonal Matching Pursuit,1.9192,5.8811,2.4162,0.1121,0.6675,0.7669,0.517,"(6, 12, 15)"
AdaBoost Regressor,1.9407,5.3551,2.3117,0.1854,0.6945,0.8608,0.565,"(6, 12, 15)"
Elastic Net,1.9753,6.0631,2.4537,0.0863,0.6793,0.7846,0.516,"(6, 12, 15)"
Lasso Regression,1.9938,6.129,2.4675,0.0764,0.6864,0.7898,0.521,"(6, 12, 15)"
Lasso Least Angle Regression,1.9938,6.129,2.4675,0.0764,0.6864,0.7898,0.514,"(6, 12, 15)"
K Neighbors Regressor,2.0609,6.9054,2.6166,-0.0413,0.7224,0.8073,0.511,"(6, 12, 15)"
Dummy Regressor,2.1129,6.6893,2.5803,-0.009,0.7203,0.8431,0.521,"(6, 12, 15)"
Passive Aggressive Regressor,4.09,35.603,5.0477,-4.4226,1.0456,1.9812,0.521,"(6, 12, 15)"
Least Angle Regression,238915.6161,1401019178671.519,375118.9916,-206147029525.2437,4.2833,121002.1579,0.519,"(6, 12, 15)"
Extra Trees Regressor,1.2028,2.6883,1.6353,0.5581,0.4882,0.4293,0.596,"(6, 12, 16)"
Light Gradient Boosting Machine,1.2803,3.052,1.7442,0.4962,0.5108,0.4787,0.563,"(6, 12, 16)"
Gradient Boosting Regressor,1.3391,3.3045,1.8152,0.4546,0.52,0.4864,0.64,"(6, 12, 16)"
Random Forest Regressor,1.3408,3.2637,1.8034,0.4621,0.525,0.4728,0.777,"(6, 12, 16)"
Decision Tree Regressor,1.6529,6.1294,2.4575,-0.0006,0.6859,0.612,0.522,"(6, 12, 16)"
Linear Regression,1.6963,4.7151,2.1641,0.224,0.6195,0.6639,0.519,"(6, 12, 16)"
Ridge Regression,1.7317,4.8959,2.2078,0.1927,0.625,0.678,0.511,"(6, 12, 16)"
Huber Regressor,1.7372,5.3272,2.3016,0.1239,0.6206,0.6121,0.519,"(6, 12, 16)"
Bayesian Ridge,1.7746,5.035,2.2386,0.1715,0.6354,0.6943,0.518,"(6, 12, 16)"
Orthogonal Matching Pursuit,1.7904,5.1396,2.2611,0.1552,0.6432,0.7002,0.517,"(6, 12, 16)"
AdaBoost Regressor,1.81,4.7664,2.1802,0.2138,0.6748,0.7681,0.555,"(6, 12, 16)"
Elastic Net,1.8272,5.32,2.3004,0.1267,0.6512,0.709,0.518,"(6, 12, 16)"
Lasso Regression,1.8428,5.3901,2.3162,0.1149,0.6581,0.7126,0.515,"(6, 12, 16)"
Lasso Least Angle Regression,1.8428,5.3901,2.3162,0.115,0.6581,0.7126,0.516,"(6, 12, 16)"
K Neighbors Regressor,1.9579,6.2371,2.491,-0.0254,0.6998,0.7486,0.492,"(6, 12, 16)"
Dummy Regressor,2.0179,6.1601,2.4784,-0.0132,0.7066,0.8048,0.519,"(6, 12, 16)"
Passive Aggressive Regressor,2.6717,12.6342,3.4471,-1.1045,0.8572,1.17,0.514,"(6, 12, 16)"
Least Angle Regression,102216.1206,566943773397.4146,240539.0272,-89976224804.1727,4.8442,73208.5711,0.511,"(6, 12, 16)"
Extra Trees Regressor,1.2928,3.1703,1.7731,0.5029,0.5172,0.4553,0.579,"(6, 12, 17)"
Light Gradient Boosting Machine,1.3809,3.4045,1.8327,0.4645,0.5366,0.526,0.555,"(6, 12, 17)"
Random Forest Regressor,1.4363,3.7349,1.9223,0.4142,0.5539,0.514,0.76,"(6, 12, 17)"
Gradient Boosting Regressor,1.4691,3.9221,1.9683,0.3823,0.5587,0.5412,0.633,"(6, 12, 17)"
Linear Regression,1.7381,5.027,2.2341,0.2105,0.6337,0.7042,0.517,"(6, 12, 17)"
Decision Tree Regressor,1.7784,6.9012,2.617,-0.0799,0.7327,0.6752,0.52,"(6, 12, 17)"
Ridge Regression,1.7845,5.0555,2.2441,0.2072,0.6333,0.7121,0.504,"(6, 12, 17)"
Huber Regressor,1.8598,5.8418,2.4132,0.0838,0.6541,0.6733,0.522,"(6, 12, 17)"
Bayesian Ridge,1.8802,5.4795,2.3375,0.1393,0.6603,0.7507,0.516,"(6, 12, 17)"
Orthogonal Matching Pursuit,1.9042,5.58,2.3591,0.1227,0.6682,0.7705,0.516,"(6, 12, 17)"
Elastic Net,1.9186,5.6148,2.366,0.1193,0.669,0.7668,0.52,"(6, 12, 17)"
AdaBoost Regressor,1.9272,5.2807,2.2936,0.1715,0.701,0.8611,0.565,"(6, 12, 17)"
Lasso Regression,1.9388,5.6873,2.3813,0.108,0.6749,0.7739,0.519,"(6, 12, 17)"
Lasso Least Angle Regression,1.9388,5.6873,2.3813,0.108,0.6749,0.7739,0.514,"(6, 12, 17)"
K Neighbors Regressor,2.0194,6.6347,2.5677,-0.0409,0.7183,0.8081,0.522,"(6, 12, 17)"
Dummy Regressor,2.0994,6.4615,2.5385,-0.0117,0.723,0.8543,0.526,"(6, 12, 17)"
Passive Aggressive Regressor,3.5818,24.3402,4.5378,-2.7461,1.0532,1.6998,0.515,"(6, 12, 17)"
Least Angle Regression,425.495,1446098.8383,585.2743,-225738.5222,3.1887,268.3497,0.521,"(6, 12, 17)"
Extra Trees Regressor,1.1257,2.5084,1.5681,0.5585,0.4757,0.4173,0.587,"(6, 13, 15)"
Random Forest Regressor,1.2281,2.9272,1.6858,0.491,0.5036,0.445,0.762,"(6, 13, 15)"
Light Gradient Boosting Machine,1.2529,2.9622,1.6985,0.4808,0.5153,0.4682,0.562,"(6, 13, 15)"
Gradient Boosting Regressor,1.3188,3.2719,1.7881,0.4242,0.5332,0.4766,0.636,"(6, 13, 15)"
Linear Regression,1.5843,4.1608,2.0251,0.2628,0.6093,0.647,0.514,"(6, 13, 15)"
Ridge Regression,1.6128,4.3423,2.0699,0.2302,0.6091,0.6462,0.514,"(6, 13, 15)"
Decision Tree Regressor,1.6147,5.8869,2.3988,-0.0481,0.6906,0.6563,0.517,"(6, 13, 15)"
Bayesian Ridge,1.6244,4.395,2.0833,0.2197,0.6135,0.6497,0.517,"(6, 13, 15)"
AdaBoost Regressor,1.6524,4.0929,2.0134,0.2675,0.6356,0.7081,0.562,"(6, 13, 15)"
Huber Regressor,1.705,5.0455,2.231,0.1044,0.6285,0.6295,0.525,"(6, 13, 15)"
Orthogonal Matching Pursuit,1.7577,4.9854,2.2203,0.1115,0.6455,0.7068,0.516,"(6, 13, 15)"
Elastic Net,1.7694,4.9838,2.2216,0.1109,0.6492,0.7087,0.522,"(6, 13, 15)"
Lasso Regression,1.7875,5.051,2.2367,0.0991,0.6556,0.7143,0.514,"(6, 13, 15)"
Lasso Least Angle Regression,1.7875,5.051,2.2367,0.0991,0.6556,0.7143,0.525,"(6, 13, 15)"
K Neighbors Regressor,1.9168,6.0734,2.4502,-0.0857,0.7055,0.7735,0.515,"(6, 13, 15)"
Dummy Regressor,1.967,5.7266,2.3841,-0.0255,0.702,0.8004,0.52,"(6, 13, 15)"
Passive Aggressive Regressor,2.044,7.7894,2.771,-0.3827,0.7613,0.613,0.527,"(6, 13, 15)"
Least Angle Regression,49542.3401,28342995967.3179,66892.9353,-3712796195.6093,5.7576,22559.318,0.52,"(6, 13, 15)"
Extra Trees Regressor,1.1618,2.4892,1.5692,0.5468,0.4835,0.4316,0.588,"(6, 13, 16)"
Light Gradient Boosting Machine,1.2656,2.8876,1.6822,0.4723,0.5161,0.4928,0.561,"(6, 13, 16)"
Random Forest Regressor,1.2789,2.956,1.7061,0.4619,0.5156,0.4727,0.788,"(6, 13, 16)"
Gradient Boosting Regressor,1.3116,3.0897,1.7472,0.4331,0.5246,0.502,0.641,"(6, 13, 16)"
Decision Tree Regressor,1.6177,5.9058,2.3834,-0.0748,0.6765,0.6935,0.517,"(6, 13, 16)"
Linear Regression,1.6485,4.3158,2.0687,0.2112,0.607,0.6762,0.527,"(6, 13, 16)"
Ridge Regression,1.6606,4.4913,2.1124,0.182,0.6097,0.6774,0.521,"(6, 13, 16)"
Bayesian Ridge,1.6862,4.5493,2.1273,0.1714,0.6138,0.692,0.513,"(6, 13, 16)"
Huber Regressor,1.7029,4.8304,2.1897,0.1241,0.6134,0.6495,0.53,"(6, 13, 16)"
AdaBoost Regressor,1.7448,4.3332,2.0793,0.2066,0.6521,0.7817,0.56,"(6, 13, 16)"
Orthogonal Matching Pursuit,1.7495,4.8346,2.1922,0.122,0.63,0.7168,0.522,"(6, 13, 16)"
Elastic Net,1.797,4.9506,2.2201,0.0998,0.6428,0.7361,0.511,"(6, 13, 16)"
Lasso Regression,1.8145,5.0252,2.237,0.0866,0.6492,0.7406,0.526,"(6, 13, 16)"
Lasso Least Angle Regression,1.8145,5.0252,2.237,0.0866,0.6492,0.7406,0.517,"(6, 13, 16)"
K Neighbors Regressor,1.9246,5.9378,2.4333,-0.0894,0.6897,0.7703,0.516,"(6, 13, 16)"
Dummy Regressor,1.9734,5.6241,2.3678,-0.0203,0.6884,0.8254,0.52,"(6, 13, 16)"
Passive Aggressive Regressor,2.6227,11.2243,3.2422,-1.0159,0.8504,1.3622,0.521,"(6, 13, 16)"
Least Angle Regression,758.6782,3477659.8442,1007.6908,-625386.1609,3.2896,411.0099,0.518,"(6, 13, 16)"
Extra Trees Regressor,1.2388,2.8545,1.6856,0.546,0.495,0.4417,0.591,"(6, 13, 17)"
Light Gradient Boosting Machine,1.3289,3.193,1.7804,0.4923,0.5164,0.5051,0.569,"(6, 13, 17)"
Random Forest Regressor,1.3413,3.2329,1.7958,0.4857,0.5197,0.4828,0.767,"(6, 13, 17)"
Gradient Boosting Regressor,1.4313,3.6647,1.9109,0.4197,0.549,0.5325,0.644,"(6, 13, 17)"
Linear Regression,1.6902,4.5785,2.1356,0.2759,0.6167,0.6678,0.517,"(6, 13, 17)"
Decision Tree Regressor,1.7253,6.5632,2.5566,-0.0453,0.6956,0.6587,0.516,"(6, 13, 17)"
Ridge Regression,1.7801,4.9732,2.2265,0.2127,0.6301,0.6974,0.516,"(6, 13, 17)"
Bayesian Ridge,1.791,5.0249,2.2385,0.2044,0.6326,0.7015,0.514,"(6, 13, 17)"
AdaBoost Regressor,1.8555,4.8367,2.1977,0.2318,0.6649,0.7953,0.573,"(6, 13, 17)"
Huber Regressor,1.8897,5.7698,2.3997,0.0855,0.6526,0.6829,0.517,"(6, 13, 17)"
Orthogonal Matching Pursuit,1.9514,5.7469,2.3954,0.0896,0.6749,0.7642,0.512,"(6, 13, 17)"
Elastic Net,1.9547,5.7235,2.3901,0.0939,0.6749,0.7705,0.515,"(6, 13, 17)"
Lasso Regression,1.9706,5.7946,2.405,0.0825,0.6813,0.7731,0.509,"(6, 13, 17)"
Lasso Least Angle Regression,1.9706,5.7946,2.405,0.0825,0.6813,0.7731,0.522,"(6, 13, 17)"
K Neighbors Regressor,2.0993,7.0281,2.6483,-0.1148,0.7328,0.8286,0.514,"(6, 13, 17)"
Dummy Regressor,2.1012,6.3477,2.5173,-0.0044,0.717,0.8545,0.517,"(6, 13, 17)"
Passive Aggressive Regressor,4.7028,36.1412,5.6911,-4.6517,1.1603,2.5901,0.516,"(6, 13, 17)"
Least Angle Regression,4.3407606831302995e+287,inf,inf,-inf,73.7973,2.6605178407554922e+287,0.527,"(6, 13, 17)"
Extra Trees Regressor,1.13,2.4151,1.5461,0.5675,0.4781,0.3971,0.595,"(6, 15, 16)"
Light Gradient Boosting Machine,1.1918,2.6651,1.6224,0.5234,0.4963,0.4335,0.547,"(6, 15, 16)"
Random Forest Regressor,1.2327,2.7468,1.646,0.5122,0.5028,0.4347,0.75,"(6, 15, 16)"
Gradient Boosting Regressor,1.286,3.0537,1.7363,0.4586,0.52,0.4557,0.638,"(6, 15, 16)"
Ridge Regression,1.6304,4.3505,2.072,0.2308,0.6069,0.6522,0.512,"(6, 15, 16)"
AdaBoost Regressor,1.6385,3.9635,1.9832,0.2907,0.6332,0.6923,0.567,"(6, 15, 16)"
Linear Regression,1.6506,4.4644,2.0957,0.2105,0.6134,0.6746,0.517,"(6, 15, 16)"
Bayesian Ridge,1.6613,4.445,2.0947,0.2151,0.6135,0.66,0.516,"(6, 15, 16)"
Huber Regressor,1.6728,4.7414,2.1607,0.166,0.6096,0.6023,0.525,"(6, 15, 16)"
Decision Tree Regressor,1.6794,6.0783,2.4506,-0.0775,0.7036,0.6483,0.502,"(6, 15, 16)"
Orthogonal Matching Pursuit,1.716,4.6966,2.153,0.1703,0.6298,0.6753,0.515,"(6, 15, 16)"
Elastic Net,1.7732,4.9157,2.2043,0.1335,0.6435,0.6885,0.511,"(6, 15, 16)"
Lasso Regression,1.7905,4.9866,2.2204,0.1215,0.6503,0.6933,0.505,"(6, 15, 16)"
Lasso Least Angle Regression,1.7905,4.9866,2.2204,0.1215,0.6503,0.6933,0.514,"(6, 15, 16)"
K Neighbors Regressor,1.8788,5.836,2.4025,-0.043,0.6934,0.7228,0.517,"(6, 15, 16)"
Dummy Regressor,1.9613,5.7199,2.3818,-0.0113,0.6937,0.7931,0.519,"(6, 15, 16)"
Passive Aggressive Regressor,3.5816,26.1907,4.4477,-3.9742,0.972,1.7089,0.512,"(6, 15, 16)"
Least Angle Regression,120.3353,46780.2402,159.0288,-9892.6799,2.9682,61.1415,0.514,"(6, 15, 16)"
Extra Trees Regressor,1.2397,2.878,1.6889,0.5719,0.4732,0.4342,0.593,"(6, 15, 17)"
Light Gradient Boosting Machine,1.3012,3.2854,1.8053,0.5107,0.4913,0.4718,0.556,"(6, 15, 17)"
Random Forest Regressor,1.3214,3.2497,1.7921,0.5182,0.4896,0.4655,0.775,"(6, 15, 17)"
Gradient Boosting Regressor,1.3885,3.5543,1.8752,0.4733,0.5054,0.4955,0.631,"(6, 15, 17)"
Decision Tree Regressor,1.5845,6.0867,2.4394,0.1051,0.6669,0.5794,0.514,"(6, 15, 17)"
Linear Regression,1.7045,4.9683,2.2213,0.2599,0.5971,0.6802,0.511,"(6, 15, 17)"
Ridge Regression,1.7903,5.1991,2.2723,0.2276,0.6093,0.735,0.515,"(6, 15, 17)"
Bayesian Ridge,1.8102,5.2754,2.2885,0.2169,0.6144,0.742,0.517,"(6, 15, 17)"
Huber Regressor,1.9318,6.0983,2.4549,0.1018,0.6483,0.7202,0.519,"(6, 15, 17)"
AdaBoost Regressor,1.9323,5.2324,2.2823,0.2201,0.6738,0.867,0.56,"(6, 15, 17)"
Orthogonal Matching Pursuit,1.9773,6.0267,2.4433,0.1094,0.6625,0.8045,0.528,"(6, 15, 17)"
Elastic Net,2.0012,6.0702,2.4547,0.102,0.6668,0.8096,0.513,"(6, 15, 17)"
Lasso Regression,2.0202,6.1348,2.468,0.093,0.6737,0.8174,0.513,"(6, 15, 17)"
Lasso Least Angle Regression,2.0202,6.1348,2.468,0.093,0.6737,0.8174,0.508,"(6, 15, 17)"
K Neighbors Regressor,2.0309,6.6906,2.579,0.0091,0.689,0.8126,0.521,"(6, 15, 17)"
Dummy Regressor,2.1795,6.8458,2.6104,-0.0154,0.717,0.8988,0.506,"(6, 15, 17)"
Passive Aggressive Regressor,2.6636,12.0247,3.4239,-0.7649,0.9258,0.9812,0.515,"(6, 15, 17)"
Least Angle Regression,1918.9398,53728800.8082,2452.0884,-6562427.2282,3.5491,899.3558,0.514,"(6, 15, 17)"
Extra Trees Regressor,1.2339,2.8423,1.6731,0.5354,0.4984,0.424,0.593,"(6, 16, 17)"
Light Gradient Boosting Machine,1.3324,3.3131,1.8032,0.4571,0.5197,0.4912,0.554,"(6, 16, 17)"
Gradient Boosting Regressor,1.3325,3.2153,1.786,0.4659,0.5201,0.4871,0.642,"(6, 16, 17)"
Random Forest Regressor,1.349,3.2779,1.8009,0.4629,0.5245,0.4678,0.781,"(6, 16, 17)"
Linear Regression,1.7083,4.6998,2.1547,0.2263,0.6348,0.6563,0.521,"(6, 16, 17)"
Ridge Regression,1.7447,4.7737,2.1738,0.2184,0.6302,0.6893,0.515,"(6, 16, 17)"
AdaBoost Regressor,1.7761,4.4801,2.1084,0.2658,0.6583,0.7281,0.558,"(6, 16, 17)"
Bayesian Ridge,1.7891,4.9551,2.2138,0.1925,0.6419,0.6995,0.508,"(6, 16, 17)"
Decision Tree Regressor,1.8106,6.9598,2.6282,-0.1561,0.748,0.6659,0.526,"(6, 16, 17)"
Huber Regressor,1.8285,5.3382,2.2964,0.1303,0.6518,0.6753,0.519,"(6, 16, 17)"
Orthogonal Matching Pursuit,1.8501,5.2962,2.2898,0.137,0.6584,0.7291,0.516,"(6, 16, 17)"
Elastic Net,1.8683,5.3093,2.2914,0.1361,0.6636,0.73,0.519,"(6, 16, 17)"
Lasso Regression,1.887,5.3747,2.3055,0.1257,0.6696,0.7336,0.515,"(6, 16, 17)"
Lasso Least Angle Regression,1.887,5.3747,2.3055,0.1257,0.6696,0.7336,0.516,"(6, 16, 17)"
K Neighbors Regressor,2.0235,6.5092,2.5375,-0.0666,0.7274,0.7527,0.507,"(6, 16, 17)"
Dummy Regressor,2.0674,6.1859,2.4758,-0.0074,0.7195,0.8229,0.52,"(6, 16, 17)"
Passive Aggressive Regressor,2.4564,10.3812,3.1762,-0.7018,0.8813,0.8405,0.516,"(6, 16, 17)"
Least Angle Regression,348441.0655,3113477476198.7393,603579.1112,-467443590640.5498,6.3699,223180.2003,0.513,"(6, 16, 17)"
Extra Trees Regressor,1.3482,3.3544,1.8234,0.5329,0.5076,0.4393,0.583,"(8, 9, 10)"
Light Gradient Boosting Machine,1.4146,3.5888,1.8816,0.5018,0.5206,0.4819,0.553,"(8, 9, 10)"
Random Forest Regressor,1.4523,3.7616,1.931,0.476,0.5385,0.4846,0.74,"(8, 9, 10)"
Gradient Boosting Regressor,1.4656,3.8683,1.9576,0.4607,0.5426,0.5004,0.622,"(8, 9, 10)"
Linear Regression,1.6912,4.7187,2.1667,0.3428,0.6015,0.6128,0.513,"(8, 9, 10)"
Ridge Regression,1.7647,5.0473,2.2405,0.2969,0.6241,0.632,0.516,"(8, 9, 10)"
Bayesian Ridge,1.7792,5.1164,2.2558,0.2875,0.6264,0.6381,0.518,"(8, 9, 10)"
Decision Tree Regressor,1.8877,7.3422,2.6885,-0.0173,0.6984,0.6852,0.511,"(8, 9, 10)"
Huber Regressor,1.9314,6.0521,2.4465,0.1613,0.6602,0.6774,0.528,"(8, 9, 10)"
AdaBoost Regressor,1.9619,5.4939,2.3367,0.2339,0.6835,0.7752,0.558,"(8, 9, 10)"
Orthogonal Matching Pursuit,1.9757,6.0257,2.4444,0.1616,0.6772,0.7397,0.513,"(8, 9, 10)"
Elastic Net,2.0067,6.1048,2.4638,0.1494,0.6812,0.7413,0.513,"(8, 9, 10)"
Lasso Regression,2.0337,6.1936,2.4818,0.1372,0.6887,0.7495,0.511,"(8, 9, 10)"
