Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Gradient Boosting Regressor,3.4329,16.0874,4.0055,0.0774,0.315,0.3202,0.543,"('subject_16', 'subject_18', 'subject_25')"
Extra Trees Regressor,3.4438,16.6169,4.0732,0.0469,0.3151,0.3146,0.554,"('subject_16', 'subject_18', 'subject_25')"
AdaBoost Regressor,3.5314,16.5439,4.0659,0.0516,0.3237,0.3343,0.456,"('subject_16', 'subject_18', 'subject_25')"
Linear Regression,3.5705,17.1282,4.1369,0.0187,0.3308,0.3423,0.428,"('subject_16', 'subject_18', 'subject_25')"
Ridge Regression,3.5713,17.1254,4.1366,0.0189,0.3309,0.3425,0.423,"('subject_16', 'subject_18', 'subject_25')"
Orthogonal Matching Pursuit,3.5915,17.4167,4.1714,0.0028,0.335,0.3469,0.527,"('subject_16', 'subject_18', 'subject_25')"
Elastic Net,3.5927,17.373,4.1662,0.0053,0.3348,0.3471,0.501,"('subject_16', 'subject_18', 'subject_25')"
Huber Regressor,3.5952,17.4844,4.1793,-0.0012,0.3362,0.3498,0.461,"('subject_16', 'subject_18', 'subject_25')"
Bayesian Ridge,3.5993,17.4058,4.1702,0.0035,0.335,0.3477,0.438,"('subject_16', 'subject_18', 'subject_25')"
Lasso Regression,3.6011,17.4054,4.1701,0.0035,0.335,0.3478,0.426,"('subject_16', 'subject_18', 'subject_25')"
Lasso Least Angle Regression,3.6011,17.4054,4.1701,0.0035,0.335,0.3478,0.494,"('subject_16', 'subject_18', 'subject_25')"
Least Angle Regression,3.6071,17.499,4.1814,-0.0032,0.3335,0.3448,0.443,"('subject_16', 'subject_18', 'subject_25')"
Dummy Regressor,3.6215,17.5557,4.1882,-0.0051,0.3361,0.3494,0.419,"('subject_16', 'subject_18', 'subject_25')"
K Neighbors Regressor,3.6814,19.0235,4.3597,-0.0904,0.3466,0.3548,0.46,"('subject_16', 'subject_18', 'subject_25')"
Decision Tree Regressor,4.2378,28.688,5.3481,-0.6435,0.416,0.38,0.423,"('subject_16', 'subject_18', 'subject_25')"
Passive Aggressive Regressor,4.6154,33.0034,5.6276,-0.8749,0.4468,0.4474,0.433,"('subject_16', 'subject_18', 'subject_25')"
Random Forest Regressor,3.4455,16.5002,4.0556,0.0519,0.3159,0.3167,0.574,"('subject_16', 'subject_18', 'subject_26')"
Gradient Boosting Regressor,3.458,16.173,4.0163,0.0712,0.3148,0.3204,0.5,"('subject_16', 'subject_18', 'subject_26')"
Light Gradient Boosting Machine,3.4998,17.3401,4.1576,0.0033,0.3218,0.318,0.462,"('subject_16', 'subject_18', 'subject_26')"
AdaBoost Regressor,3.5097,16.3369,4.0388,0.061,0.3195,0.3286,0.504,"('subject_16', 'subject_18', 'subject_26')"
Extra Trees Regressor,3.5206,17.1892,4.1381,0.0137,0.3219,0.3236,0.566,"('subject_16', 'subject_18', 'subject_26')"
Linear Regression,3.557,17.109,4.1336,0.0161,0.3296,0.3399,0.42,"('subject_16', 'subject_18', 'subject_26')"
Ridge Regression,3.5582,17.1065,4.1333,0.0163,0.3297,0.3402,0.471,"('subject_16', 'subject_18', 'subject_26')"
Orthogonal Matching Pursuit,3.5844,17.356,4.1621,0.0039,0.3337,0.3456,0.507,"('subject_16', 'subject_18', 'subject_26')"
Huber Regressor,3.5912,17.5638,4.1888,-0.0114,0.3364,0.3498,0.44,"('subject_16', 'subject_18', 'subject_26')"
Elastic Net,3.6043,17.4487,4.1735,-0.0017,0.3344,0.3472,0.469,"('subject_16', 'subject_18', 'subject_26')"
Lasso Regression,3.6046,17.4264,4.1706,-0.0002,0.3341,0.347,0.426,"('subject_16', 'subject_18', 'subject_26')"
Lasso Least Angle Regression,3.6046,17.4264,4.1706,-0.0002,0.3341,0.347,0.453,"('subject_16', 'subject_18', 'subject_26')"
Bayesian Ridge,3.6052,17.4404,4.1729,-0.0017,0.3344,0.3473,0.494,"('subject_16', 'subject_18', 'subject_26')"
Dummy Regressor,3.6244,17.572,4.1881,-0.0086,0.3351,0.3484,0.458,"('subject_16', 'subject_18', 'subject_26')"
Least Angle Regression,3.7075,19.9014,4.3976,-0.144,0.3472,0.3545,0.514,"('subject_16', 'subject_18', 'subject_26')"
K Neighbors Regressor,3.7133,19.2773,4.3827,-0.1072,0.3462,0.3556,0.463,"('subject_16', 'subject_18', 'subject_26')"
Decision Tree Regressor,4.2942,29.604,5.4312,-0.7092,0.4249,0.384,0.458,"('subject_16', 'subject_18', 'subject_26')"
Passive Aggressive Regressor,5.7613,48.2471,6.7271,-1.7829,0.5768,0.4208,0.502,"('subject_16', 'subject_18', 'subject_26')"
Gradient Boosting Regressor,3.4465,15.9503,3.9851,0.0805,0.3135,0.3202,0.504,"('subject_16', 'subject_18', 'subject_27')"
Random Forest Regressor,3.4506,16.2636,4.0274,0.0604,0.3137,0.3173,0.564,"('subject_16', 'subject_18', 'subject_27')"
AdaBoost Regressor,3.5492,16.6237,4.0716,0.0393,0.3208,0.3299,0.428,"('subject_16', 'subject_18', 'subject_27')"
Light Gradient Boosting Machine,3.563,17.9229,4.2245,-0.0336,0.3257,0.3226,0.447,"('subject_16', 'subject_18', 'subject_27')"
Extra Trees Regressor,3.5638,17.5854,4.187,-0.0177,0.3258,0.3288,0.637,"('subject_16', 'subject_18', 'subject_27')"
Linear Regression,3.5766,17.0362,4.1229,0.0149,0.3276,0.339,0.485,"('subject_16', 'subject_18', 'subject_27')"
Ridge Regression,3.5772,17.0358,4.1228,0.0149,0.3277,0.3392,0.442,"('subject_16', 'subject_18', 'subject_27')"
Bayesian Ridge,3.6009,17.3016,4.1545,0.0005,0.3314,0.3438,0.437,"('subject_16', 'subject_18', 'subject_27')"
Huber Regressor,3.6038,17.4032,4.1661,-0.0051,0.3333,0.3474,0.474,"('subject_16', 'subject_18', 'subject_27')"
Elastic Net,3.6039,17.3239,4.1572,-0.0008,0.3317,0.3443,0.452,"('subject_16', 'subject_18', 'subject_27')"
Dummy Regressor,3.6113,17.4444,4.1723,-0.0084,0.3327,0.345,0.47,"('subject_16', 'subject_18', 'subject_27')"
Lasso Regression,3.6114,17.4017,4.1669,-0.0057,0.3324,0.345,0.419,"('subject_16', 'subject_18', 'subject_27')"
Lasso Least Angle Regression,3.6114,17.4017,4.1669,-0.0057,0.3324,0.345,0.421,"('subject_16', 'subject_18', 'subject_27')"
Orthogonal Matching Pursuit,3.6223,17.4717,4.1749,-0.0094,0.3329,0.3458,0.464,"('subject_16', 'subject_18', 'subject_27')"
K Neighbors Regressor,3.7085,19.2572,4.3821,-0.1135,0.3457,0.3545,0.46,"('subject_16', 'subject_18', 'subject_27')"
Least Angle Regression,3.9793,26.4003,4.7733,-0.5286,0.3649,0.3777,0.439,"('subject_16', 'subject_18', 'subject_27')"
Decision Tree Regressor,4.4093,30.5034,5.5091,-0.7627,0.4263,0.3967,0.452,"('subject_16', 'subject_18', 'subject_27')"
Passive Aggressive Regressor,5.0559,39.1978,6.1321,-1.2788,0.4557,0.5453,0.432,"('subject_16', 'subject_18', 'subject_27')"
Random Forest Regressor,3.6051,17.3735,4.1642,0.0352,0.3236,0.331,0.591,"('subject_16', 'subject_18', 'subject_28')"
Gradient Boosting Regressor,3.6418,17.6412,4.1957,0.0201,0.3289,0.3395,0.457,"('subject_16', 'subject_18', 'subject_28')"
AdaBoost Regressor,3.6583,17.349,4.1603,0.0385,0.3295,0.3437,0.427,"('subject_16', 'subject_18', 'subject_28')"
Extra Trees Regressor,3.6599,18.3296,4.2778,-0.0198,0.3317,0.3375,0.59,"('subject_16', 'subject_18', 'subject_28')"
Light Gradient Boosting Machine,3.6613,18.6682,4.3173,-0.0403,0.3324,0.3323,0.457,"('subject_16', 'subject_18', 'subject_28')"
Orthogonal Matching Pursuit,3.6993,18.0274,4.2413,0.0011,0.3392,0.3553,0.479,"('subject_16', 'subject_18', 'subject_28')"
Elastic Net,3.7091,18.0762,4.2471,-0.0016,0.3395,0.3561,0.494,"('subject_16', 'subject_18', 'subject_28')"
Lasso Least Angle Regression,3.7106,18.105,4.2507,-0.0033,0.3397,0.3562,0.474,"('subject_16', 'subject_18', 'subject_28')"
Lasso Regression,3.7106,18.105,4.2507,-0.0033,0.3397,0.3562,0.433,"('subject_16', 'subject_18', 'subject_28')"
Dummy Regressor,3.7107,18.1084,4.2511,-0.0035,0.3397,0.3562,0.442,"('subject_16', 'subject_18', 'subject_28')"
Bayesian Ridge,3.7141,18.1479,4.2557,-0.0057,0.3401,0.3565,0.483,"('subject_16', 'subject_18', 'subject_28')"
Linear Regression,3.7204,18.1632,4.2583,-0.0078,0.3389,0.3549,0.468,"('subject_16', 'subject_18', 'subject_28')"
Ridge Regression,3.7204,18.1562,4.2574,-0.0073,0.339,0.3551,0.488,"('subject_16', 'subject_18', 'subject_28')"
Huber Regressor,3.7515,18.631,4.3123,-0.0331,0.345,0.3636,0.518,"('subject_16', 'subject_18', 'subject_28')"
K Neighbors Regressor,3.9021,20.9519,4.5753,-0.1663,0.3597,0.3719,0.5,"('subject_16', 'subject_18', 'subject_28')"
Least Angle Regression,4.4157,36.4542,5.3287,-1.0646,0.4033,0.4227,0.44,"('subject_16', 'subject_18', 'subject_28')"
Decision Tree Regressor,4.6124,32.7907,5.7159,-0.828,0.4403,0.4106,0.44,"('subject_16', 'subject_18', 'subject_28')"
Passive Aggressive Regressor,5.6447,48.3604,6.7579,-1.6476,0.4913,0.615,0.431,"('subject_16', 'subject_18', 'subject_28')"
Random Forest Regressor,3.4716,16.3424,4.0407,0.0228,0.3141,0.3186,0.656,"('subject_16', 'subject_18', 'subject_29')"
AdaBoost Regressor,3.4935,16.2006,4.024,0.0314,0.3175,0.3259,0.425,"('subject_16', 'subject_18', 'subject_29')"
Gradient Boosting Regressor,3.5164,16.5003,4.0597,0.0138,0.3166,0.3233,0.495,"('subject_16', 'subject_18', 'subject_29')"
Dummy Regressor,3.5406,16.882,4.1076,-0.0089,0.3268,0.3364,0.435,"('subject_16', 'subject_18', 'subject_29')"
Elastic Net,3.5417,16.8952,4.1093,-0.0097,0.3271,0.3367,0.438,"('subject_16', 'subject_18', 'subject_29')"
Lasso Regression,3.5434,16.9033,4.1103,-0.0101,0.327,0.3367,0.434,"('subject_16', 'subject_18', 'subject_29')"
Lasso Least Angle Regression,3.5434,16.9033,4.1103,-0.0101,0.327,0.3367,0.475,"('subject_16', 'subject_18', 'subject_29')"
Bayesian Ridge,3.5448,16.9142,4.1116,-0.0108,0.3271,0.3368,0.445,"('subject_16', 'subject_18', 'subject_29')"
Orthogonal Matching Pursuit,3.5475,16.8993,4.11,-0.01,0.327,0.3369,0.516,"('subject_16', 'subject_18', 'subject_29')"
Linear Regression,3.5499,16.842,4.1029,-0.0072,0.3251,0.335,0.428,"('subject_16', 'subject_18', 'subject_29')"
Ridge Regression,3.5505,16.8396,4.1026,-0.0071,0.3252,0.3352,0.429,"('subject_16', 'subject_18', 'subject_29')"
Least Angle Regression,3.572,17.1186,4.1353,-0.0235,0.3267,0.3359,0.49,"('subject_16', 'subject_18', 'subject_29')"
Huber Regressor,3.5825,17.2256,4.1496,-0.0308,0.3305,0.3425,0.419,"('subject_16', 'subject_18', 'subject_29')"
Light Gradient Boosting Machine,3.5995,17.9453,4.2334,-0.0729,0.3258,0.3256,0.451,"('subject_16', 'subject_18', 'subject_29')"
Extra Trees Regressor,3.6135,17.7001,4.2035,-0.0583,0.324,0.3283,0.548,"('subject_16', 'subject_18', 'subject_29')"
K Neighbors Regressor,3.6404,18.2605,4.2708,-0.0921,0.3362,0.3425,0.487,"('subject_16', 'subject_18', 'subject_29')"
Decision Tree Regressor,4.4246,29.9399,5.4659,-0.7946,0.4223,0.3893,0.44,"('subject_16', 'subject_18', 'subject_29')"
Passive Aggressive Regressor,4.7742,34.5257,5.805,-1.0651,0.4436,0.4648,0.596,"('subject_16', 'subject_18', 'subject_29')"
Random Forest Regressor,3.4163,15.9951,3.9963,0.0607,0.3108,0.314,0.55,"('subject_16', 'subject_18', 'subject_3')"
Light Gradient Boosting Machine,3.4367,16.8425,4.1015,0.0081,0.3172,0.3122,0.453,"('subject_16', 'subject_18', 'subject_3')"
Gradient Boosting Regressor,3.4437,15.9001,3.9827,0.0655,0.3115,0.3187,0.469,"('subject_16', 'subject_18', 'subject_3')"
Extra Trees Regressor,3.464,16.7847,4.0913,0.0156,0.3171,0.318,0.532,"('subject_16', 'subject_18', 'subject_3')"
AdaBoost Regressor,3.4997,16.2237,4.0227,0.0501,0.3183,0.328,0.449,"('subject_16', 'subject_18', 'subject_3')"
Ridge Regression,3.5518,17.0467,4.1235,0.002,0.3287,0.3391,0.437,"('subject_16', 'subject_18', 'subject_3')"
Linear Regression,3.5519,17.048,4.1237,0.0018,0.3287,0.339,0.422,"('subject_16', 'subject_18', 'subject_3')"
Orthogonal Matching Pursuit,3.5526,17.1244,4.1321,-0.0015,0.3304,0.3411,0.44,"('subject_16', 'subject_18', 'subject_3')"
Elastic Net,3.5663,17.1747,4.1385,-0.0048,0.3308,0.3423,0.462,"('subject_16', 'subject_18', 'subject_3')"
Bayesian Ridge,3.5698,17.195,4.1412,-0.0062,0.331,0.3426,0.487,"('subject_16', 'subject_18', 'subject_3')"
Lasso Regression,3.5712,17.1967,4.141,-0.0059,0.3309,0.3426,0.511,"('subject_16', 'subject_18', 'subject_3')"
Lasso Least Angle Regression,3.5712,17.1967,4.141,-0.0059,0.3309,0.3426,0.504,"('subject_16', 'subject_18', 'subject_3')"
Huber Regressor,3.5756,17.4039,4.1649,-0.0174,0.3339,0.3471,0.513,"('subject_16', 'subject_18', 'subject_3')"
Dummy Regressor,3.5857,17.3165,4.1555,-0.013,0.3317,0.3437,0.417,"('subject_16', 'subject_18', 'subject_3')"
K Neighbors Regressor,3.6894,19.25,4.382,-0.1289,0.3461,0.3528,0.418,"('subject_16', 'subject_18', 'subject_3')"
Least Angle Regression,4.0586,30.9474,5.0178,-0.7197,0.3867,0.3954,0.503,"('subject_16', 'subject_18', 'subject_3')"
Decision Tree Regressor,4.3262,29.0516,5.3866,-0.7163,0.4151,0.3859,0.421,"('subject_16', 'subject_18', 'subject_3')"
Passive Aggressive Regressor,5.11,38.6481,5.9643,-1.3305,0.508,0.4352,0.487,"('subject_16', 'subject_18', 'subject_3')"
Gradient Boosting Regressor,3.4725,16.3334,4.0383,0.0583,0.3193,0.3266,0.483,"('subject_16', 'subject_18', 'subject_33')"
Random Forest Regressor,3.4815,16.4884,4.0573,0.0492,0.3184,0.3244,0.535,"('subject_16', 'subject_18', 'subject_33')"
Light Gradient Boosting Machine,3.5357,18.0041,4.238,-0.0398,0.3296,0.3249,0.455,"('subject_16', 'subject_18', 'subject_33')"
Extra Trees Regressor,3.5514,17.5,4.1784,-0.0089,0.3259,0.329,0.527,"('subject_16', 'subject_18', 'subject_33')"
AdaBoost Regressor,3.583,16.9065,4.1093,0.0265,0.3277,0.3402,0.479,"('subject_16', 'subject_18', 'subject_33')"
Least Angle Regression,3.6156,17.4923,4.1794,-0.0066,0.3347,0.3481,0.504,"('subject_16', 'subject_18', 'subject_33')"
Linear Regression,3.6164,17.4708,4.1767,-0.0052,0.3346,0.3483,0.446,"('subject_16', 'subject_18', 'subject_33')"
Ridge Regression,3.617,17.4692,4.1765,-0.005,0.3347,0.3486,0.469,"('subject_16', 'subject_18', 'subject_33')"
Elastic Net,3.6242,17.5992,4.1916,-0.0122,0.3374,0.3519,0.454,"('subject_16', 'subject_18', 'subject_33')"
Orthogonal Matching Pursuit,3.6298,17.6686,4.1992,-0.0159,0.3379,0.3524,0.506,"('subject_16', 'subject_18', 'subject_33')"
Lasso Regression,3.6306,17.627,4.195,-0.0139,0.3376,0.3523,0.494,"('subject_16', 'subject_18', 'subject_33')"
Lasso Least Angle Regression,3.6306,17.627,4.195,-0.0139,0.3376,0.3523,0.437,"('subject_16', 'subject_18', 'subject_33')"
Bayesian Ridge,3.6311,17.6487,4.1975,-0.0151,0.3378,0.3523,0.408,"('subject_16', 'subject_18', 'subject_33')"
Dummy Regressor,3.6385,17.6722,4.2007,-0.0168,0.3378,0.3527,0.463,"('subject_16', 'subject_18', 'subject_33')"
Huber Regressor,3.6464,17.9213,4.2291,-0.0302,0.3408,0.3569,0.433,"('subject_16', 'subject_18', 'subject_33')"
K Neighbors Regressor,3.736,19.5429,4.4139,-0.1244,0.352,0.3618,0.454,"('subject_16', 'subject_18', 'subject_33')"
Passive Aggressive Regressor,4.0687,24.5598,4.9235,-0.4028,0.3882,0.4142,0.445,"('subject_16', 'subject_18', 'subject_33')"
Decision Tree Regressor,4.3857,30.1127,5.4825,-0.741,0.4275,0.3912,0.443,"('subject_16', 'subject_18', 'subject_33')"
Random Forest Regressor,3.4127,15.9328,3.9898,0.0647,0.3093,0.3107,0.664,"('subject_16', 'subject_18', 'subject_5')"
Gradient Boosting Regressor,3.4505,16.0627,4.0062,0.0569,0.3131,0.3182,0.507,"('subject_16', 'subject_18', 'subject_5')"
AdaBoost Regressor,3.5006,16.2227,4.0269,0.0476,0.3184,0.3272,0.458,"('subject_16', 'subject_18', 'subject_5')"
Linear Regression,3.5249,16.7466,4.0903,0.0182,0.3265,0.3361,0.44,"('subject_16', 'subject_18', 'subject_5')"
Ridge Regression,3.5256,16.7458,4.0902,0.0182,0.3266,0.3364,0.461,"('subject_16', 'subject_18', 'subject_5')"
Least Angle Regression,3.5301,16.8355,4.1012,0.0128,0.3272,0.3363,0.462,"('subject_16', 'subject_18', 'subject_5')"
Elastic Net,3.5431,16.9973,4.1218,0.0029,0.33,0.34,0.444,"('subject_16', 'subject_18', 'subject_5')"
Bayesian Ridge,3.5475,17.0209,4.1247,0.0015,0.3302,0.3403,0.411,"('subject_16', 'subject_18', 'subject_5')"
Lasso Regression,3.5495,17.0512,4.1283,-0.0002,0.3304,0.3404,0.412,"('subject_16', 'subject_18', 'subject_5')"
Lasso Least Angle Regression,3.5495,17.0512,4.1283,-0.0002,0.3304,0.3404,0.435,"('subject_16', 'subject_18', 'subject_5')"
Orthogonal Matching Pursuit,3.552,17.1475,4.1398,-0.0058,0.331,0.3403,0.453,"('subject_16', 'subject_18', 'subject_5')"
Huber Regressor,3.5538,17.1837,4.1436,-0.0079,0.333,0.3455,0.414,"('subject_16', 'subject_18', 'subject_5')"
Dummy Regressor,3.556,17.1256,4.1373,-0.0045,0.3308,0.3407,0.41,"('subject_16', 'subject_18', 'subject_5')"
Light Gradient Boosting Machine,3.5586,17.784,4.2146,-0.0449,0.3244,0.321,0.462,"('subject_16', 'subject_18', 'subject_5')"
Extra Trees Regressor,3.5956,17.6609,4.1997,-0.0363,0.3258,0.3289,0.574,"('subject_16', 'subject_18', 'subject_5')"
K Neighbors Regressor,3.7281,19.3721,4.399,-0.1374,0.3462,0.3539,0.406,"('subject_16', 'subject_18', 'subject_5')"
Decision Tree Regressor,4.4159,30.6222,5.5318,-0.7966,0.4274,0.3859,0.413,"('subject_16', 'subject_18', 'subject_5')"
Passive Aggressive Regressor,6.1066,52.6732,7.2118,-2.0756,0.6059,0.4656,0.414,"('subject_16', 'subject_18', 'subject_5')"
Random Forest Regressor,3.4923,16.7522,4.0869,0.0398,0.3189,0.3222,0.559,"('subject_16', 'subject_18', 'subject_6')"
Light Gradient Boosting Machine,3.5166,17.7341,4.206,-0.018,0.3258,0.3207,0.437,"('subject_16', 'subject_18', 'subject_6')"
AdaBoost Regressor,3.5527,16.7147,4.0836,0.0424,0.3255,0.3376,0.4,"('subject_16', 'subject_18', 'subject_6')"
Gradient Boosting Regressor,3.5594,17.105,4.1281,0.0214,0.3238,0.3316,0.507,"('subject_16', 'subject_18', 'subject_6')"
Ridge Regression,3.6033,17.2781,4.1523,0.0104,0.3323,0.3453,0.41,"('subject_16', 'subject_18', 'subject_6')"
Linear Regression,3.6038,17.2832,4.1528,0.0101,0.3322,0.3452,0.425,"('subject_16', 'subject_18', 'subject_6')"
Least Angle Regression,3.6069,17.3337,4.1588,0.0071,0.3321,0.3447,0.422,"('subject_16', 'subject_18', 'subject_6')"
Orthogonal Matching Pursuit,3.6105,17.5246,4.1824,-0.0042,0.3359,0.349,0.42,"('subject_16', 'subject_18', 'subject_6')"
Elastic Net,3.6156,17.4945,4.1789,-0.0025,0.3357,0.3494,0.421,"('subject_16', 'subject_18', 'subject_6')"
Bayesian Ridge,3.6209,17.5429,4.1847,-0.0053,0.3361,0.3498,0.404,"('subject_16', 'subject_18', 'subject_6')"
Lasso Regression,3.6225,17.524,4.1826,-0.0043,0.3359,0.35,0.421,"('subject_16', 'subject_18', 'subject_6')"
Lasso Least Angle Regression,3.6225,17.524,4.1826,-0.0043,0.3359,0.35,0.415,"('subject_16', 'subject_18', 'subject_6')"
Huber Regressor,3.6267,17.6479,4.1967,-0.0111,0.3371,0.3516,0.436,"('subject_16', 'subject_18', 'subject_6')"
Dummy Regressor,3.6336,17.5856,4.19,-0.008,0.3363,0.3506,0.553,"('subject_16', 'subject_18', 'subject_6')"
Extra Trees Regressor,3.6546,18.415,4.2853,-0.0555,0.334,0.3388,0.515,"('subject_16', 'subject_18', 'subject_6')"
K Neighbors Regressor,3.8212,20.1138,4.4815,-0.1567,0.3549,0.3669,0.486,"('subject_16', 'subject_18', 'subject_6')"
Decision Tree Regressor,4.3584,30.1221,5.4843,-0.7365,0.4238,0.3907,0.405,"('subject_16', 'subject_18', 'subject_6')"
Passive Aggressive Regressor,6.2224,54.4858,7.3288,-2.1542,0.6367,0.4549,0.441,"('subject_16', 'subject_18', 'subject_6')"
Gradient Boosting Regressor,3.4558,16.022,3.9998,0.1029,0.3125,0.3184,0.537,"('subject_16', 'subject_18', 'subject_7')"
Random Forest Regressor,3.4743,16.6929,4.0813,0.0664,0.3159,0.3173,0.583,"('subject_16', 'subject_18', 'subject_7')"
Light Gradient Boosting Machine,3.4837,17.595,4.1886,0.0162,0.3209,0.3145,0.422,"('subject_16', 'subject_18', 'subject_7')"
Extra Trees Regressor,3.5474,17.3013,4.1571,0.0306,0.3217,0.3247,0.527,"('subject_16', 'subject_18', 'subject_7')"
AdaBoost Regressor,3.5806,16.8634,4.1039,0.0564,0.326,0.3379,0.453,"('subject_16', 'subject_18', 'subject_7')"
Linear Regression,3.6191,17.434,4.1743,0.0232,0.333,0.3456,0.513,"('subject_16', 'subject_18', 'subject_7')"
Ridge Regression,3.6208,17.4321,4.1741,0.0233,0.3331,0.346,0.44,"('subject_16', 'subject_18', 'subject_7')"
Least Angle Regression,3.6406,17.7667,4.214,0.0037,0.3357,0.3476,0.442,"('subject_16', 'subject_18', 'subject_7')"
Huber Regressor,3.6511,18.0054,4.2414,-0.0082,0.341,0.3565,0.441,"('subject_16', 'subject_18', 'subject_7')"
Elastic Net,3.6693,17.8739,4.2259,-0.0003,0.339,0.3541,0.42,"('subject_16', 'subject_18', 'subject_7')"
Orthogonal Matching Pursuit,3.6728,17.9139,4.2306,-0.0026,0.3393,0.3544,0.436,"('subject_16', 'subject_18', 'subject_7')"
Lasso Regression,3.673,17.8986,4.2288,-0.0016,0.3391,0.3542,0.396,"('subject_16', 'subject_18', 'subject_7')"
Lasso Least Angle Regression,3.673,17.8986,4.2288,-0.0016,0.3391,0.3542,0.409,"('subject_16', 'subject_18', 'subject_7')"
Bayesian Ridge,3.6732,17.8974,4.2285,-0.0015,0.3391,0.3543,0.464,"('subject_16', 'subject_18', 'subject_7')"
Dummy Regressor,3.6776,17.9667,4.2367,-0.0054,0.3395,0.3544,0.457,"('subject_16', 'subject_18', 'subject_7')"
K Neighbors Regressor,3.6911,19.1076,4.3659,-0.07,0.344,0.3518,0.415,"('subject_16', 'subject_18', 'subject_7')"
Passive Aggressive Regressor,3.8259,20.9169,4.5635,-0.1703,0.3652,0.389,0.406,"('subject_16', 'subject_18', 'subject_7')"
Decision Tree Regressor,4.4406,31.2303,5.5783,-0.7512,0.431,0.387,0.448,"('subject_16', 'subject_18', 'subject_7')"
Random Forest Regressor,3.4112,16.0053,3.9945,0.0742,0.3095,0.3122,0.609,"('subject_16', 'subject_18', 'subject_8')"
Gradient Boosting Regressor,3.4936,16.3249,4.0356,0.0551,0.3149,0.322,0.473,"('subject_16', 'subject_18', 'subject_8')"
AdaBoost Regressor,3.5009,16.0511,4.001,0.0734,0.3165,0.3275,0.423,"('subject_16', 'subject_18', 'subject_8')"
Light Gradient Boosting Machine,3.5114,17.3545,4.16,-0.0059,0.3186,0.3172,0.451,"('subject_16', 'subject_18', 'subject_8')"
Extra Trees Regressor,3.5135,17.1826,4.1394,0.006,0.3216,0.3241,0.596,"('subject_16', 'subject_18', 'subject_8')"
Linear Regression,3.5907,17.2268,4.1458,0.0048,0.3294,0.3414,0.425,"('subject_16', 'subject_18', 'subject_8')"
Ridge Regression,3.5917,17.2247,4.1455,0.005,0.3295,0.3417,0.405,"('subject_16', 'subject_18', 'subject_8')"
Elastic Net,3.6144,17.464,4.1727,-0.0068,0.3333,0.3466,0.435,"('subject_16', 'subject_18', 'subject_8')"
Orthogonal Matching Pursuit,3.6147,17.5201,4.1793,-0.0101,0.3338,0.347,0.454,"('subject_16', 'subject_18', 'subject_8')"
Bayesian Ridge,3.6199,17.5253,4.1803,-0.0106,0.3337,0.347,0.456,"('subject_16', 'subject_18', 'subject_8')"
Lasso Regression,3.6231,17.5279,4.1801,-0.0102,0.3337,0.3473,0.402,"('subject_16', 'subject_18', 'subject_8')"
Lasso Least Angle Regression,3.6231,17.5279,4.1801,-0.0102,0.3337,0.3473,0.457,"('subject_16', 'subject_18', 'subject_8')"
Huber Regressor,3.6267,17.7762,4.2111,-0.0269,0.3374,0.3525,0.44,"('subject_16', 'subject_18', 'subject_8')"
Dummy Regressor,3.6316,17.6307,4.1922,-0.0159,0.3343,0.3478,0.479,"('subject_16', 'subject_18', 'subject_8')"
Least Angle Regression,3.6643,18.903,4.325,-0.0863,0.346,0.3469,0.431,"('subject_16', 'subject_18', 'subject_8')"
K Neighbors Regressor,3.7518,19.4108,4.3994,-0.1224,0.347,0.359,0.472,"('subject_16', 'subject_18', 'subject_8')"
Decision Tree Regressor,4.3397,29.5235,5.4264,-0.7101,0.4209,0.382,0.501,"('subject_16', 'subject_18', 'subject_8')"
Passive Aggressive Regressor,5.1826,41.0364,6.2785,-1.4124,0.4643,0.5545,0.499,"('subject_16', 'subject_18', 'subject_8')"
Random Forest Regressor,3.5067,16.6253,4.0747,0.0407,0.317,0.3226,0.657,"('subject_16', 'subject_18', 'subject_9')"
Gradient Boosting Regressor,3.518,16.454,4.0534,0.0501,0.3174,0.3264,0.434,"('subject_16', 'subject_18', 'subject_9')"
AdaBoost Regressor,3.5792,16.7928,4.0952,0.0319,0.3252,0.3375,0.51,"('subject_16', 'subject_18', 'subject_9')"
Light Gradient Boosting Machine,3.595,17.9991,4.2392,-0.0385,0.3269,0.3267,0.516,"('subject_16', 'subject_18', 'subject_9')"
Extra Trees Regressor,3.6115,17.736,4.2065,-0.023,0.3271,0.333,0.55,"('subject_16', 'subject_18', 'subject_9')"
Linear Regression,3.6209,17.5105,4.1825,-0.0112,0.3333,0.346,0.4,"('subject_16', 'subject_18', 'subject_9')"
Ridge Regression,3.6225,17.5079,4.1822,-0.0109,0.3334,0.3464,0.414,"('subject_16', 'subject_18', 'subject_9')"
Least Angle Regression,3.6281,17.5947,4.1926,-0.0162,0.3339,0.3466,0.403,"('subject_16', 'subject_18', 'subject_9')"
Orthogonal Matching Pursuit,3.6329,17.6125,4.1945,-0.0156,0.3363,0.3502,0.443,"('subject_16', 'subject_18', 'subject_9')"
Elastic Net,3.6454,17.6972,4.2046,-0.0206,0.3369,0.3511,0.414,"('subject_16', 'subject_18', 'subject_9')"
Lasso Regression,3.647,17.6878,4.2034,-0.02,0.3367,0.351,0.414,"('subject_16', 'subject_18', 'subject_9')"
